date,tag,portal
2019-01-13,"Dzoana Krupa",pudelek
2019-01-07,"Dzoana Krupa",pudelek
2019-01-04,"Dzoana Krupa",pudelek
2019-01-13,"Dzoana Krupa",pudelek
2019-01-13,"Dzoana Krupa",pudelek
2019-01-12,"Robert Lewandowski",pudelek
2019-01-12,"Robert Lewandowski",pudelek
2019-01-12,"Robert Lewandowski",pudelek
2019-01-05,"Robert Lewandowski",pudelek
2019-01-05,"Robert Lewandowski",pudelek
2019-01-05,"Robert Lewandowski",pudelek
2018-12-31,"Robert Lewandowski",kozaczek
2019-01-01,"Robert Lewandowski",plotek
2019-01-01,"Robert Lewandowski",plotek
2019-01-05,"Anna Lewandowska",pudelek
2019-01-05,"Anna Lewandowska",pudelek
2019-01-05,"Anna Lewandowska",plotek
2019-01-01,"Anna Lewandowska",kozaczek
2019-01-01,"Anna Lewandowska",pudelek
2019-01-15,"Robert Lewandowska",pudelek
